1,17.0,18.0
2,21.9,15.7
3,10.6,17.2
4,20.7,29.6
5,22.1,9.6
6,16.1,15.0
7,1.8,5.4
8,17.2,5.4
9,12.8,29.8
10,7.1,4.6
11,4.3,23.8
12,16.3,23.4
13,12.8,13.1
14,12.8,17.2
15,16.7,2.6
16,28.6,9.2
17,16.7,7.5
18,28.5,10.0
19,4.0,17.6
20,6.0,26.2
21,27.2,11.7
22,11.8,17.3
23,20.7,26.1
24,26.9,28.5
25,29.9,13.1
26,26.2,3.1
27,23.4,8.8
28,26.4,5.2
29,15.6,21.8
30,7.0,9.3
31,14.5,19.2
32,18.3,14.1
33,9.8,16.5
34,19.2,27.3
35,21.5,8.9
36,15.2,14.7
37,2.5,6.1
38,16.8,6.3
39,13.2,28.4
40,6.7,5.2
41,5.1,22.9
42,17.1,24.1
43,11.9,12.4
44,11.5,16.8
45,15.9,3.5
46,27.3,8.7
47,17.0,8.2
48,27.8,9.8
49,3.8,16.9
50,5.5,25.7
51,26.3,12.3
52,10.9,18.1
53,19.8,25.6
54,25.6,27.9
55,28.7,14.3
56,25.1,4.2
57,22.7,9.1
58,25.9,6.0
59,14.9,20.5
60,6.8,10.1
